season,season_type,team,qb_id,qb_name,wr_id,wr_name,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,CLE,00-0034855,B.Mayfield,00-0031382,J.Landry,18,12,112.0,2,0.3225669787096559,0.017920387706091993,6,0.3333333333333333,76.0,70.0,4.222222222222222,5.833333333333333,6.0,1,5,1
2020,POST,CLE,00-0034855,B.Mayfield,00-0032392,A.Hooper,14,9,62.0,1,5.757325471485151,0.4112375336775108,8,0.5714285714285714,118.0,11.0,8.428571428571429,1.2222222222222223,5.0,0,5,1
2020,POST,CLE,00-0034855,B.Mayfield,00-0032977,R.Higgins,14,7,116.0,0,-1.8553876585792906,-0.13252768989852076,5,0.35714285714285715,162.0,28.0,11.571428571428571,4.0,5.0,2,1,0
2020,POST,CLE,00-0034855,B.Mayfield,00-0033885,D.Njoku,6,5,66.0,0,3.8643636214546855,0.6440606035757809,4,0.6666666666666666,28.0,40.0,4.666666666666667,8.0,3.0,2,0,0
2020,POST,CLE,00-0034855,B.Mayfield,00-0033923,K.Hunt,2,2,15.0,0,0.65972359268926,0.32986179634463,1,0.5,-9.0,24.0,-4.5,12.0,1.0,0,0,0
2020,POST,CLE,00-0034855,B.Mayfield,00-0034791,N.Chubb,9,6,73.0,1,3.2113358859205587,0.35681509843561765,3,0.3333333333333333,-9.0,85.0,-1.0,14.166666666666666,2.0,2,1,0
2020,POST,CLE,00-0034855,B.Mayfield,00-0034855,B.Mayfield,1,1,-8.0,0,-1.11156375519931,-1.11156375519931,0,0.0,-9.0,1.0,-9.0,1.0,0.0,0,0,0
2020,POST,CLE,00-0034855,B.Mayfield,00-0036232,H.Bryant,1,0,0.0,0,-0.404557959642261,-0.404557959642261,0,0.0,12.0,0.0,12.0,0.0,0.0,0,0,0
2020,POST,CLE,00-0034855,B.Mayfield,00-0036233,D.Peoples-Jones,3,2,31.0,0,1.517168421065442,0.5057228070218139,2,0.6666666666666666,38.0,2.0,12.666666666666666,1.0,1.0,1,0,0
2020,POST,BUF,00-0034857,J.Allen,00-0029000,C.Beasley,18,14,145.0,0,4.291773087821258,0.2384318382122921,11,0.6111111111111112,112.0,62.0,6.222222222222222,4.428571428571429,6.0,1,0,0
2020,POST,BUF,00-0034857,J.Allen,00-0031051,J.Brown,19,10,86.0,0,-10.491448554924435,-0.5521815028907597,6,0.3157894736842105,209.0,15.0,11.0,1.5,4.0,1,3,0
2020,POST,BUF,00-0034857,J.Allen,00-0031588,S.Diggs,32,20,311.0,2,18.249847226560117,0.5703077258300037,19,0.59375,471.0,75.0,14.71875,3.75,18.0,5,4,1
2020,POST,BUF,00-0034857,J.Allen,00-0032209,T.Yeldon,5,4,41.0,0,0.43760299438145095,0.08752059887629018,3,0.6,15.0,32.0,3.0,8.0,1.0,1,1,0
2020,POST,BUF,00-0034857,J.Allen,00-0033466,I.McKenzie,3,3,14.0,1,1.776990520651454,0.5923301735504847,2,0.6666666666666666,2.0,12.0,0.6666666666666666,4.0,2.0,0,1,1
2020,POST,BUF,00-0034857,J.Allen,00-0035250,D.Singletary,9,8,44.0,0,-1.395308695442511,-0.15503429949361233,3,0.3333333333333333,7.0,36.0,0.7777777777777778,4.5,1.0,0,2,0
2020,POST,BUF,00-0034857,J.Allen,00-0035689,D.Knox,13,10,65.0,2,5.514950614142367,0.4242269703186436,7,0.5384615384615384,41.0,45.0,3.1538461538461537,4.5,6.0,0,6,2
2020,POST,BUF,00-0034857,J.Allen,00-0036196,G.Davis,11,4,85.0,0,0.6137500445429762,0.05579545859481602,4,0.36363636363636365,172.0,0.0,15.636363636363637,0.0,4.0,1,4,0
2020,POST,BUF,00-0034857,J.Allen,00-0036251,Z.Moss,4,4,26.0,0,2.056518980010882,0.5141297450027205,3,0.75,8.0,18.0,2.0,4.5,2.0,0,1,0
2020,POST,LA,00-0034899,J.Wolford,00-0030431,R.Woods,1,0,0.0,0,-0.51477984036319,-0.51477984036319,0,0.0,13.0,0.0,13.0,0.0,0.0,0,0,0
2020,POST,LA,00-0034899,J.Wolford,00-0033895,G.Everett,1,0,0.0,0,-1.4325284967199,-1.4325284967199,0,0.0,11.0,0.0,11.0,0.0,0.0,0,0,0
2020,POST,LA,00-0034899,J.Wolford,00-0033908,C.Kupp,3,2,28.0,0,1.8977088843239458,0.6325696281079819,2,0.6666666666666666,37.0,3.0,12.333333333333334,1.5,2.0,0,0,0
