season,season_type,player_id,player_name,team,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,00-0034928,S.Sims,WAS,4,3,33.0,1,4.44317284127465,1.1107932103186624,2,0.5,37.0,1.0,9.25,0.3333333333333333,2.0,0,2,1
2020,POST,00-0034975,J.Hill,BAL,1,0,0.0,0,-0.490570352703799,-0.490570352703799,0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,1,0
2020,POST,00-0035140,M.Hardman,KC,13,8,66.0,1,-0.44421736622462255,-0.034170566632663275,4,0.3076923076923077,43.0,82.0,3.3076923076923075,10.25,4.0,1,2,1
2020,POST,00-0035215,D.Harris,NO,8,8,82.0,0,8.260923402209299,1.0326154252761623,6,0.75,20.0,62.0,2.5,7.75,5.0,1,0,0
2020,POST,00-0035216,Di.Johnson,PIT,16,11,117.0,0,-0.2412823962804368,-0.0150801497675273,9,0.5625,183.0,28.0,11.4375,2.5454545454545454,8.0,0,2,0
2020,POST,00-0035217,B.Snell,PIT,2,1,4.0,0,-6.046141547383744,-3.023070773691872,0,0.0,1.0,4.0,0.5,4.0,0.0,0,0,0
2020,POST,00-0035250,D.Singletary,BUF,9,8,44.0,0,-1.395308695442511,-0.15503429949361233,3,0.3333333333333333,7.0,36.0,0.7777777777777778,4.5,1.0,0,2,0
2020,POST,00-0035298,S.Miller,TB,6,4,80.0,1,8.367740957038237,1.394623492839706,3,0.5,75.0,7.0,12.5,1.75,3.0,2,1,0
2020,POST,00-0035406,L.Humphrey,NO,1,1,14.0,0,2.78476190753281,2.78476190753281,1,1.0,3.0,11.0,3.0,11.0,1.0,0,0,0
2020,POST,00-0035590,R.Ridley,CHI,2,2,36.0,0,2.39655049348948,1.19827524674474,2,1.0,18.0,18.0,9.0,9.0,2.0,0,0,0
2020,POST,00-0035640,D.Metcalf,SEA,11,5,96.0,2,-5.029191884619659,-0.4571992622381508,4,0.36363636363636365,196.0,20.0,17.818181818181817,4.0,2.0,1,1,1
2020,POST,00-0035659,T.McLaurin,WAS,7,6,75.0,0,0.464090924593634,0.06629870351337629,5,0.7142857142857143,71.0,9.0,10.142857142857142,1.5,5.0,0,0,0
2020,POST,00-0035662,M.Brown,BAL,16,11,196.0,0,10.796224370363342,0.6747640231477089,11,0.6875,263.0,54.0,16.4375,4.909090909090909,7.0,5,1,0
2020,POST,00-0035676,A.Brown,TEN,10,6,83.0,1,5.707264378026597,0.5707264378026597,5,0.5,119.0,21.0,11.9,3.5,5.0,1,2,1
2020,POST,00-0035685,D.Montgomery,CHI,1,0,0.0,0,-1.32977557415143,-1.32977557415143,0,0.0,4.0,0.0,4.0,0.0,0.0,0,0,0
2020,POST,00-0035689,D.Knox,BUF,13,10,65.0,2,5.514950614142367,0.4242269703186436,7,0.5384615384615384,41.0,45.0,3.1538461538461537,4.5,6.0,0,6,2
2020,POST,00-0035703,M.Boykin,BAL,5,3,20.0,0,-2.212161038244717,-0.4424322076489434,2,0.4,54.0,5.0,10.8,1.6666666666666667,0.0,0,0,0
2020,POST,00-0036142,I.Wright,WAS,1,0,0.0,0,-0.448241154430434,-0.448241154430434,0,0.0,15.0,0.0,15.0,0.0,0.0,0,0,0
2020,POST,00-0036158,J.Dobbins,BAL,6,4,45.0,0,1.2813253775821067,0.21355422959701778,3,0.5,35.0,21.0,5.833333333333333,5.25,3.0,1,1,0
